Event.Id,Accident.Number,Event.Date,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,People.Count,City,Region,Latitude,Longitude
20170710X52551,NYC79AA106,9/17/79,Non-Fatal,CF-TLU,2.0,Turbo Fan,0,0,1,44,Mcdonnell Douglas: DC9,45,Boston,Massachusetts,42.3188,-71.0852
20020917X01897,CHI82IA026,1/12/82,Incident,N31031,3.0,Turbo Fan,0,0,0,149,Lockheed: L-1011,149,Chicago,Illinois,41.8375,-87.6866
20020917X01909,DCA82AA013,1/23/82,Fatal(2),N113WA,3.0,Turbo Fan,2,4,24,182,Mcdonnell Douglas: DC-10-30,212,Boston,Massachusetts,42.3188,-71.0852
20020917X01910,DCA82AA014,2/3/82,Non-Fatal,N1814U,3.0,Turbo Fan,0,1,0,154,Mcdonnell Douglas: DC-10-10,155,Philadelphia,Pennsylvania,40.0077,-75.1339
20020917X02336,LAX82IA075,2/15/82,Incident,N73717,2.0,Turbo Jet,0,0,0,119,Boeing: B737-2H4,119,Ontario,California,34.0393,-117.6064
20020917X02151,FTW82IA062,2/19/82,Incident,XAMEJ,3.0,Turbo Jet,0,0,0,83,Boeing: B-727-200,83,Harlingen,Texas,26.1916,-97.6977
20020917X02338,LAX82IA103,3/10/82,Incident,N778JA,2.0,Turbo Fan,0,0,0,68,Mcdonnell Douglas: DC-9-82,68,Long Beach,California,33.7977,-118.167
20020917X01904,CHI82IA117,4/9/82,Incident,N7627U,3.0,Turbo Fan,0,0,0,108,Boeing: 727-200,108,Youngstown,Ohio,41.0993,-80.6463
20020917X02079,FTW82DA139,4/18/82,Non-Fatal,N32717,3.0,Turbo Fan,0,0,0,68,Boeing: 727-200,68,Austin,Texas,30.3005,-97.7522
20020917X02421,MIA82IA102,4/20/82,Incident,N333EA,3.0,Turbo Fan,0,0,0,152,Lockheed: L-1011,152,Miami,Florida,25.784,-80.2101
20020917X02737,ATL82DA142,5/22/82,Non-Fatal,N9356,2.0,Turbo Jet,0,1,0,56,Mcdonnell Douglas: DC-9-15F,57,Memphis,Tennessee,35.1087,-89.9663
20020917X03653,LAX82FA195,5/26/82,Non-Fatal,N1833U,3.0,Turbo Fan,0,0,25,113,Mcdonnell Douglas: DC10-10,138,San Francisco,California,37.7558,-122.4449
20020917X03237,DEN82IA098,5/27/82,Incident,N8088U,4.0,Turbo Jet,0,0,17,129,Mcdonnell Douglas: DC-8-61,146,Goshen,Indiana,41.5743,-85.8309
20020917X04018,NYC82FA110,5/29/82,Non-Fatal,N801EV,4.0,Turbo Fan,0,1,1,109,Mcdonnell Douglas: DC8-52,111,Atlantic Ocean,,-14.599413,-28.673146
20020917X04180,SEA82IA101,7/5/82,Incident,N919RW,2.0,Turbo Fan,0,0,0,84,Mcdonnell Douglas: DC-9-31,84,Boise,Idaho,43.6005,-116.2308
20020917X04065,NYC82IA137,7/5/82,Incident,CGAAA,3.0,Turbo Fan,0,0,0,74,Boeing: 727-233,74,Flushing,New York,43.0637,-83.8403
20020917X03515,LAX82AA259,7/16/82,Non-Fatal,N1815U,3.0,Turbo Fan,0,7,19,142,Mcdonnell Douglas: DC-10-10,168,Morton,Wyoming,40.6135,-89.4669
20020917X04067,NYC82IA170,7/28/82,Incident,N64323,3.0,Turbo Fan,0,0,0,129,Boeing: 727-231,129,Flushing,New York,43.0637,-83.8403
