City,Region
Boston,Massachusetts
Chicago,Illinois
Boston,Massachusetts
Philadelphia,Pennsylvania
Ontario,California
Harlingen,Texas
Long Beach,California
Youngstown,Ohio
Austin,Texas
Miami,Florida
Memphis,Tennessee
San Francisco,California
Near Goshen,Indiana
Atlantic Ocean,
Boise,Idaho
Flushing,New York
Morton,Wyoming
Flushing,New York
Denver,Colorado
Honolulu,Hawaii
Washington,Dc
Houston,Texas
Austin,Texas
Denver,Colorado
Miami,Florida
Denver,Colorado
Pellston,Michigan
Memphis,Tennessee
Washington,Dc
Thermal,California
Los Angeles,California
Los Angeles,California
Norfolk,Virginia
Chicago,Illinois
Los Angeles,California
Calverton,New York
Durango,Mexico
San Jose,Costa Rica
Nr Tokyo,Japan
Panama City,Panama
Midway Islands,Po
Boston,Massachusetts
Flushing,New York
Jamaica,New York
San Juan,
San Juan,
Newark,New Jersey
Newark,New Jersey
Buga,Colombia
Pensacola,Florida
Sao Paulo,Brazil
Buenos Aires,Argentina
Comorso Islands,Ethiopia
Panama City,Panama
Denver,Colorado
London,United Kingdom
London,United Kingdom
Asuncion,Paraguay
Memphis,Tennessee
Lima,Peru
Nimitz Hill,Gu
Paris,France
London,United Kingdom
Mexico City,Mexico
Manchester,United Kingdom
Antalya,France
Nan,
Concepcion,Bolivia
Curitba,Brazil
London,United Kingdom
Calgary,Canada
Zhanjiang,China
Tegucigalpa,Honduras
Shanghai,China
Hong Kong,China
Copenhagen,Denmark
London,United Kingdom
London,United Kingdom
Guatemala City,Guatemala
Amsterdam,Netherlands
Abidjan,Cote D'Ivoire
Porto Alegre,Brazil
Burbank,California
Samal Island,Philippines
Nashville,Tennessee
Paris,France
Montreal,Canada
Paris,France
Copenhagen,Denmark
Boston,Massachusetts
Buenos Aires,Argentina
Boston,Massachusetts
Boston,Massachusetts
Buenos Aires,Argentina
New York City,New York
Indianapolis,Indiana
Kansas City,Missouri
Vancouver,"Bc, Canada"
Wadsworth,Ohio
Jamaica,New York
Boston,Massachusetts
Miami,Florida
Newark,New Jersey
Buenos Aires,Argentina
Denver,Colorado
Minneapolis,Minnesota
Minneapolis,Minnesota
Union Star,Missouri
London,United Kingdom
Raleigh-durham,North Carolina
Denver,Colorado
Denver,Colorado
Newark,New Jersey
Newark,New Jersey
Agana,Gu
Los Angeles,California
Calgary,Canada
Heathrow Iap,United Kingdom
