Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,People.Count
20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",Non-Fatal,Substantial,Airplane,CF-TLU,Mcdonnell Douglas,DC9,2.0,Turbo Fan,Part 129: Foreign,0.0,0.0,1.0,44.0,VMC,Climb,
20020917X01897,Incident,CHI82IA026,1982-01-12,"CHICAGO, IL",Incident,,Airplane,N31031,Lockheed,L-1011,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,149.0,UNK,Cruise,149.0
20020917X02397,Accident,MIA82FA034,1982-01-19,"MIAMI, FL",Non-Fatal,Substantial,Airplane,HCBHS,Canadair,CL-44D4,4.0,Turbo Prop,Part 129: Foreign,0.0,0.0,0.0,6.0,VMC,Landing,6.0
20020917X01767,Incident,ATL82IA041,1982-01-22,"LOUISVILLE, KY",Incident,,Airplane,N18FE,Dassault/Sud,FALCON 20,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,2.0,VMC,Descent,2.0
20020917X01909,Accident,DCA82AA013,1982-01-23,"BOSTON, MA",Fatal(2),Destroyed,Airplane,N113WA,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Part 121: Air Carrier,2.0,4.0,24.0,182.0,IMC,Landing,212.0
20020917X01910,Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",Non-Fatal,Minor,Airplane,N1814U,Mcdonnell-Douglas,DC-10-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,0.0,154.0,IMC,Takeoff,155.0
20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",Incident,Minor,Airplane,N73717,Boeing,B737-2H4,2.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,0.0,119.0,IMC,Approach,119.0
20020917X01911,Accident,DCA82AA015,1982-02-16,"KING SALMON, AK",Non-Fatal,Substantial,Airplane,N169RV,Nihon,YS-11A,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,3.0,36.0,VMC,Approach,39.0
20020917X02151,Incident,FTW82IA062,1982-02-19,"HARLINGEN, TX",Incident,,Airplane,XAMEJ,Boeing,B-727-200,3.0,Turbo Jet,Part 129: Foreign,0.0,0.0,0.0,83.0,IMC,Landing,
20020917X02477,Incident,MKC82IA042,1982-03-08,"LAS VEGAS, NV",Incident,,Airplane,N6728,Boeing,707-131B,4.0,Turbo Fan,Part 121: Air Carrier,1.0,0.0,0.0,0.0,VMC,Standing,1.0
20020917X02338,Incident,LAX82IA103,1982-03-10,"LONG BEACH, CA",Incident,,Airplane,N778JA,Douglas,DC-9-82,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,68.0,VMC,Standing,68.0
20020917X01989,Incident,DEN82IA049,1982-03-25,"DENVER, CO",Incident,,Airplane,N857H,Gulfstream,G159-C,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,20.0,VMC,Approach,20.0
20020917X01904,Incident,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",Incident,Minor,Airplane,N7627U,Boeing,727-200,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,108.0,IMC,Landing,108.0
20020917X02079,Accident,FTW82DA139,1982-04-18,"AUSTIN, TX",Non-Fatal,Substantial,Airplane,N32717,Boeing,727-200,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,68.0,VMC,Landing,68.0
20020917X02421,Incident,MIA82IA102,1982-04-20,"MIAMI, FL",Incident,Minor,Airplane,N333EA,Lockheed,L-1011,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,152.0,VMC,Landing,152.0
20020917X03236,Incident,DEN82IA090,1982-05-18,"GILLETTE, WY",Incident,Minor,Airplane,N114GA,Gulfstream American,G-159C,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,21.0,VMC,Landing,21.0
20020917X03096,Incident,CHI82IA179,1982-05-21,"DAYTON, OH",Incident,,Airplane,N1124J,Bac,1-11-204AF,2.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,0.0,48.0,IMC,Landing,48.0
20020917X02737,Accident,ATL82DA142,1982-05-22,"MEMPHIS, TN",Non-Fatal,,Airplane,N9356,Douglas,DC-9-15F,2.0,Turbo Jet,Part 121: Air Carrier,0.0,1.0,0.0,56.0,VMC,Descent,57.0
20020917X03653,Accident,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",Non-Fatal,Substantial,Airplane,N1833U,Douglas,DC10-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,25.0,113.0,VMC,Taxi,138.0
20020917X03237,Incident,DEN82IA098,1982-05-27,"NEAR GOSHEN, IN",Incident,,Airplane,N8088U,Douglas,DC-8-61,4.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,17.0,129.0,VMC,Cruise,146.0
20020917X04018,Accident,NYC82FA110,1982-05-29,ATLANTIC OCEAN,Non-Fatal,,Airplane,N801EV,Douglas,DC8-52,4.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,1.0,109.0,VMC,Cruise,111.0
20020917X03238,Incident,DEN82IA103,1982-06-08,"GILLETTE, WY",Incident,,Airplane,N159AN,Grumman,G-159C,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,29.0,VMC,Landing,29.0
20020917X04180,Incident,SEA82IA101,1982-07-05,"BOISE, ID",Incident,Minor,Airplane,N919RW,Douglas,DC-9-31,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,84.0,VMC,Takeoff,84.0
20020917X04065,Incident,NYC82IA137,1982-07-05,"FLUSHING, NY",Incident,Minor,Airplane,CGAAA,Boeing,727-233,3.0,Turbo Fan,Part 129: Foreign,0.0,0.0,0.0,74.0,VMC,Climb,
20020917X03515,Accident,LAX82AA259,1982-07-16,"MORTON, WY",Non-Fatal,Minor,Airplane,N1815U,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,7.0,19.0,142.0,VMC,Cruise,168.0
20020917X04067,Incident,NYC82IA170,1982-07-28,"FLUSHING, NY",Incident,Minor,Airplane,N64323,Boeing,727-231,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,129.0,IMC,Approach,129.0
20020917X03240,Incident,DEN82IA154,1982-08-05,"DENVER, CO",Incident,Minor,Airplane,N7356F,Boeing,737-291,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,102.0,VMC,Takeoff,102.0
20020917X03898,Incident,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",Incident,Minor,Airplane,N7345F,Boeing,737-291,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,33.0,0.0,IMC,Approach,33.0
20020917X03729,Incident,LAX82IA309,1982-08-21,"HONOLULU, HI",Incident,Minor,Airplane,N104WA,Mcdonnell Douglas,DC-10-30F,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,393.0,VMC,Takeoff,393.0
20020917X04491,Incident,DCA82IA031,1982-09-02,"WASHINGTON, DC",Incident,,Airplane,N288WA,Boeing,727,3.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,1.0,128.0,VMC,Descent,130.0
20020917X04495,Incident,DCA83IA002,1982-10-18,"HOUSTON, TX",Incident,Minor,Airplane,N536TX,Douglas,DC-9-30,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,65.0,VMC,Takeoff,65.0
20020917X04699,Accident,FTW83LA033,1982-11-02,"AUSTIN, TX",Non-Fatal,,Airplane,N55SW,Boeing,737-200,2.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,0.0,67.0,VMC,Climb,68.0
20020917X04219,Accident,ANC83FA012,1982-11-04,"NELSON LAGOON, AK",Non-Fatal,Substantial,Airplane,N4752C,Fairchild,C-82,2.0,Reciprocating,Part 121: Air Carrier,0.0,2.0,0.0,0.0,VMC,Approach,2.0
20020917X04908,Accident,MIA83FA027,1982-11-11,"MIAMI, FL",Fatal(1),,Airplane,N707GB,Boeing,707-300,4.0,Turbo Fan,Part 121: Air Carrier,1.0,0.0,0.0,3.0,VMC,Climb,4.0
20020917X04534,Accident,DEN83FA021,1982-11-18,"DENVER, CO",Non-Fatal,Substantial,Airplane,N68056,Mcdonald Douglas,DC-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,136.0,VMC,Standing,136.0
20020917X04669,Incident,FTW83IA044,1982-11-22,"LITTLE ROCK, AR",Incident,Minor,Airplane,N846AA,Boeing,727-223,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,23.0,IMC,Landing,23.0
20020917X04910,Accident,MIA83FA036,1982-11-27,"MIAMI, FL",Non-Fatal,Substantial,Airplane,HK284,Boeing,707-323C,4.0,Turbo Fan,Part 129: Foreign,0.0,0.0,0.0,116.0,VMC,Takeoff,116.0
20020917X05142,Incident,SEA83IA027,1982-12-01,"BOISE, ID",Incident,,Airplane,N785NC,Mcdonnell Douglas,DC-9-51,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,22.0,VMC,Descent,22.0
20020917X04915,Incident,MIA83IA043,1982-12-06,"SARASOTA, FL",Incident,Minor,Airplane,N8871Z,Boeing,727-225,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,21.0,VMC,Takeoff,21.0
20020917X04341,Incident,ATL83IA054,1982-12-07,"CHAMBLEE, GA",Incident,Minor,Airplane,N153TG,Gulfstream American,G-159,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,3.0,VMC,Takeoff,3.0
20020917X04570,Accident,DEN83LA026,1982-12-09,"DENVER, CO",Non-Fatal,,Airplane,N7346F,Boeing,737-291,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,57.0,VMC,Taxi,57.0
20020917X04437,Incident,CHI83IA063,1982-12-18,"PELLSTON, MI",Incident,,Airplane,N9344,Douglas,DC9-30,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,51.0,IMC,Landing,51.0
20020917X04672,Incident,FTW83IA086,1982-12-26,"MEMPHIS, TN",Incident,Minor,Airplane,N6810,Boeing,727-223,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,58.0,IMC,Go-around,58.0
20020917X04343,Incident,ATL83IA085,1982-12-28,"WASHINGTON, DC",Incident,,Airplane,N752N,Boeing,737-222,2.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,0.0,73.0,VMC,Approach,73.0
20020917X04671,Incident,FTW83IA072,1982-12-30,"THERMAL, CA",Incident,,Airplane,N137AA,Mcdonnell-Douglas,DC-10-30,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,14.0,203.0,VMC,Climb,217.0
20001214X42478,Incident,LAX83IA149B,1983-03-18,"LOS ANGELES, CA",Incident,Minor,Airplane,N323EA,Lockheed,L-1011,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,588.0,VMC,Standing,
20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",Incident,Minor,Airplane,9VSQQ,Boeing,747,4.0,Turbo Fan,Part 129: Foreign,0.0,0.0,0.0,588.0,VMC,Taxi,
20001214X44248,Incident,MIA83IA210,1983-08-21,"NORFOLK, VA",Incident,Minor,Airplane,N69NA,Douglas,DC-10-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,289.0,VMC,Cruise,
20001214X45013,Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",Incident,Minor,Airplane,N898AA,Boeing,727-200,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,100.0,VMC,Taxi,
20001214X39980,Accident,LAX84LA349,1984-06-11,"LOS ANGELES, CA",Non-Fatal,Substantial,Airplane,N501PA,Lockheed,L-1011-385-3,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,157.0,VMC,Takeoff,
20001213X33489,Incident,BFO86IA031A,1986-05-30,"CALVERTON, NY",Incident,,Airplane,N1310T,Douglas,DC-9-31,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,69.0,VMC,Descent,
20001213X30244,Accident,FTW87RA066,1987-02-14,"DURANGO, Mexico",Fatal(1),,Airplane,N712PC,Boeing,707-323B,4.0,Turbo Jet,Part 121: Air Carrier,1.0,0.0,3.0,131.0,UNK,,
