,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
0,20170710X52551,NYC79AA106,1979-09-17,"BOSTON, MA",Non-Fatal,CF-TLU,2.0,Turbo Fan,0.0,0.0,1.0,44.0,45.0,Mcdonnell Douglas: DC9
1,20020917X01897,CHI82IA026,1982-01-12,"CHICAGO, IL",Incident,N31031,3.0,Turbo Fan,0.0,0.0,0.0,149.0,149.0,Lockheed: L-1011
3,20020917X01909,DCA82AA013,1982-01-23,"BOSTON, MA",Fatal(2),N113WA,3.0,Turbo Fan,2.0,4.0,24.0,182.0,212.0,Mcdonnell Douglas: DC-10-30
4,20020917X01910,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",Non-Fatal,N1814U,3.0,Turbo Fan,0.0,1.0,0.0,154.0,155.0,Mcdonnell Douglas: DC-10-10
5,20020917X02336,LAX82IA075,1982-02-15,"ONTARIO, CA",Incident,N73717,2.0,Turbo Jet,0.0,0.0,0.0,119.0,119.0,Boeing: B737-2H4
6,20020917X02151,FTW82IA062,1982-02-19,"HARLINGEN, TX",Incident,XAMEJ,3.0,Turbo Jet,0.0,0.0,0.0,83.0,83.0,Boeing: B-727-200
8,20020917X02338,LAX82IA103,1982-03-10,"LONG BEACH, CA",Incident,N778JA,2.0,Turbo Fan,0.0,0.0,0.0,68.0,68.0,Mcdonnell Douglas: DC-9-82
10,20020917X01904,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",Incident,N7627U,3.0,Turbo Fan,0.0,0.0,0.0,108.0,108.0,Boeing: 727-200
11,20020917X02079,FTW82DA139,1982-04-18,"AUSTIN, TX",Non-Fatal,N32717,3.0,Turbo Fan,0.0,0.0,0.0,68.0,68.0,Boeing: 727-200
12,20020917X02421,MIA82IA102,1982-04-20,"MIAMI, FL",Incident,N333EA,3.0,Turbo Fan,0.0,0.0,0.0,152.0,152.0,Lockheed: L-1011
14,20020917X02737,ATL82DA142,1982-05-22,"MEMPHIS, TN",Non-Fatal,N9356,2.0,Turbo Jet,0.0,1.0,0.0,56.0,57.0,Mcdonnell Douglas: DC-9-15F
15,20020917X03653,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",Non-Fatal,N1833U,3.0,Turbo Fan,0.0,0.0,25.0,113.0,138.0,Mcdonnell Douglas: DC10-10
16,20020917X03237,DEN82IA098,1982-05-27,"NEAR GOSHEN, IN",Incident,N8088U,4.0,Turbo Jet,0.0,0.0,17.0,129.0,146.0,Mcdonnell Douglas: DC-8-61
17,20020917X04018,NYC82FA110,1982-05-29,ATLANTIC OCEAN,Non-Fatal,N801EV,4.0,Turbo Fan,0.0,1.0,1.0,109.0,111.0,Mcdonnell Douglas: DC8-52
19,20020917X04180,SEA82IA101,1982-07-05,"BOISE, ID",Incident,N919RW,2.0,Turbo Fan,0.0,0.0,0.0,84.0,84.0,Mcdonnell Douglas: DC-9-31
20,20020917X04065,NYC82IA137,1982-07-05,"FLUSHING, NY",Incident,CGAAA,3.0,Turbo Fan,0.0,0.0,0.0,74.0,74.0,Boeing: 727-233
21,20020917X03515,LAX82AA259,1982-07-16,"MORTON, WY",Non-Fatal,N1815U,3.0,Turbo Fan,0.0,7.0,19.0,142.0,168.0,Mcdonnell Douglas: DC-10-10
