Event.Id,Accident.Number,Event.Date,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,City,Region,Latitude,Longitude,Make:Model,Severity_Score,New.Severity.Score,Fatality
20170710X52551,NYC79AA106,9/17/79,2.0,Turbo Fan,0,0,1,44,45,Boston,Massachusetts,42.3188,-71.0852,McdonnellDouglas:DC-9,104.44444444444446,102.22222222222221,Non-Fatal
20020917X01897,CHI82IA026,1/12/82,3.0,Turbo Fan,0,0,0,149,149,Chicago,Illinois,41.8375,-87.6866,Lockheed-L-1011,100.0,100.0,Non-Fatal
20020917X01909,DCA82AA013,1/23/82,3.0,Turbo Fan,2,4,24,182,212,Boston,Massachusetts,42.3188,-71.0852,McdonnellDouglas:DC-10,166.03773584905662,117.9245283018868,Fatal-2
20020917X01910,DCA82AA014,2/3/82,3.0,Turbo Fan,0,1,0,154,155,Philadelphia,Pennsylvania,40.0077,-75.1339,McdonnellDouglas:DC-10,107.0967741935484,101.29032258064517,Non-Fatal
20020917X02336,LAX82IA075,2/15/82,2.0,Turbo Jet,0,0,0,119,119,Ontario,California,34.0393,-117.6064,Boeing737,100.0,100.0,Non-Fatal
20020917X02151,FTW82IA062,2/19/82,3.0,Turbo Jet,0,0,0,83,83,Harlingen,Texas,26.1916,-97.6977,Boeing727,100.0,100.0,Non-Fatal
20020917X02338,LAX82IA103,3/10/82,2.0,Turbo Fan,0,0,0,68,68,Long Beach,California,33.7977,-118.167,McdonnellDouglas:MD-80,100.0,100.0,Non-Fatal
20020917X01904,CHI82IA117,4/9/82,3.0,Turbo Fan,0,0,0,108,108,Youngstown,Ohio,41.0993,-80.6463,Boeing727,100.0,100.0,Non-Fatal
20020917X02079,FTW82DA139,4/18/82,3.0,Turbo Fan,0,0,0,68,68,Austin,Texas,30.3005,-97.7522,Boeing727,100.0,100.0,Non-Fatal
20020917X02421,MIA82IA102,4/20/82,3.0,Turbo Fan,0,0,0,152,152,Miami,Florida,25.784,-80.2101,Lockheed-L-1011,100.0,100.0,Non-Fatal
20020917X02737,ATL82DA142,5/22/82,2.0,Turbo Jet,0,1,0,56,57,Memphis,Tennessee,35.1087,-89.9663,McdonnellDouglas:DC-9,119.29824561403508,103.50877192982458,Non-Fatal
20020917X03653,LAX82FA195,5/26/82,3.0,Turbo Fan,0,0,25,113,138,San Francisco,California,37.7558,-122.4449,McdonnellDouglas:DC-10,136.23188405797103,118.1159420289855,Non-Fatal
