Event.Id,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,Severity_Score,Fatality,extracted_value
20020917X02336,0.0,0.0,0.0,119.0,Boeing737,100.0,Non-Fatal,
20020917X02151,0.0,0.0,0.0,83.0,Boeing727,100.0,Non-Fatal,
20020917X01904,0.0,0.0,0.0,108.0,Boeing727,100.0,Non-Fatal,
20020917X02079,0.0,0.0,0.0,68.0,Boeing727,100.0,Non-Fatal,
20020917X04065,0.0,0.0,0.0,74.0,Boeing727,100.0,Non-Fatal,
20020917X04067,0.0,0.0,0.0,129.0,Boeing727,100.0,Non-Fatal,
20020917X03240,0.0,0.0,0.0,102.0,Boeing737,100.0,Non-Fatal,
20020917X04491,0.0,1.0,1.0,128.0,Boeing727,110.00000000000001,Non-Fatal,
20020917X04699,0.0,1.0,0.0,67.0,Boeing737,116.1764705882353,Non-Fatal,
20020917X04910,0.0,0.0,0.0,116.0,Boeing707,100.0,Non-Fatal,
20020917X04570,0.0,0.0,0.0,57.0,Boeing737,100.0,Non-Fatal,
20020917X04672,0.0,0.0,0.0,58.0,Boeing727,100.0,Non-Fatal,
20020917X04343,0.0,0.0,0.0,73.0,Boeing737,100.0,Non-Fatal,
20001214X42478,0.0,0.0,0.0,588.0,Boeing747,100.0,Non-Fatal,
20001214X45013,0.0,0.0,0.0,100.0,Boeing727,100.0,Non-Fatal,
20001213X30244,1.0,0.0,3.0,131.0,Boeing707,122.22222222222223,Fatal-1,
20001213X25535,0.0,1.0,0.0,192.0,Boeing757,105.69948186528497,Non-Fatal,
20001213X25661,0.0,0.0,0.0,258.0,Boeing747,100.0,Non-Fatal,
20001213X27446,0.0,1.0,1.0,220.0,Boeing747,105.85585585585586,Non-Fatal,
20001212X17360,0.0,0.0,0.0,156.0,Boeing727,100.0,Non-Fatal,
20001207X03526,0.0,0.0,0.0,288.0,Boeing737,100.0,Non-Fatal,
20001207X03526,0.0,0.0,0.0,288.0,Boeing767,100.0,Non-Fatal,
20001207X04990,160.0,4.0,0.0,0.0,Boeing757,2468.2926829268295,Fatal-160,
20001208X07017,125.0,44.0,2.0,4.0,Boeing767,2093.1428571428573,Fatal-125,
20010711X01386,0.0,0.0,0.0,63.0,Boeing737,100.0,Non-Fatal,
20001208X07906,0.0,1.0,0.0,96.0,Boeing737,111.34020618556701,Non-Fatal,
20001208X07896,0.0,0.0,0.0,573.0,Boeing747,100.0,Non-Fatal,
20001208X07896,0.0,0.0,0.0,573.0,Boeing777,100.0,Non-Fatal,
20001208X08067,0.0,1.0,0.0,122.0,Boeing767,108.9430894308943,Non-Fatal,
20001208X08714,1.0,0.0,0.0,149.0,Boeing757,115.99999999999999,Fatal-1,
20001208X08606,228.0,26.0,0.0,0.0,Boeing747,2366.929133858268,Fatal-228,
20001211X09413,0.0,1.0,4.0,87.0,Boeing767,120.65217391304348,Non-Fatal,
20001211X11042,0.0,0.0,0.0,200.0,Boeing767,100.0,Non-Fatal,
20001211X11485,0.0,1.0,0.0,227.0,Boeing777,104.82456140350878,Non-Fatal,
20001204X00044,0.0,0.0,0.0,91.0,Boeing767,100.0,Non-Fatal,
20001205X00298,0.0,0.0,0.0,96.0,Boeing727,100.0,Non-Fatal,
20001212X18964,0.0,0.0,4.0,71.0,Boeing737,110.66666666666667,Non-Fatal,
20001212X18965,0.0,0.0,0.0,94.0,Boeing757,100.0,Non-Fatal,
20001212X19475,0.0,0.0,0.0,191.0,Boeing767,100.0,Non-Fatal,
20001212X20085,0.0,0.0,0.0,274.0,Boeing777,100.0,Non-Fatal,
20001212X20217,0.0,1.0,5.0,185.0,Boeing777,110.99476439790577,Non-Fatal,
20001212X20342,0.0,0.0,0.0,143.0,Boeing737,100.0,Non-Fatal,
20001212X20476,0.0,0.0,0.0,123.0,Boeing737,100.0,Non-Fatal,
20001212X20606,0.0,2.0,42.0,98.0,Boeing737,174.64788732394365,Non-Fatal,
20001212X20792,131.0,0.0,0.0,0.0,Boeing737,2500.0,Fatal-131,
20001212X21079,0.0,1.0,0.0,123.0,Boeing737,108.87096774193547,Non-Fatal,
20001212X21426,0.0,0.0,380.0,0.0,Boeing747,300.0,Non-Fatal,
20001212X22275,0.0,0.0,0.0,97.0,Boeing757,100.0,Non-Fatal,
20010216X00462,0.0,1.0,0.0,79.0,Boeing767,113.75,Non-Fatal,
20010130X00371,0.0,0.0,0.0,144.0,Boeing727,100.0,Non-Fatal,
20010226X00510,0.0,0.0,0.0,135.0,Boeing737,100.0,Non-Fatal,
20010919X01964,0.0,1.0,0.0,89.0,Boeing767,112.22222222222223,Non-Fatal,
20020123X00104,65.0,0.0,0.0,0.0,Boeing767,2500.0,Fatal-65,
20030305X00289,0.0,0.0,0.0,101.0,Boeing737,100.0,Non-Fatal,
20030902X01433,0.0,1.0,2.0,110.0,Boeing757,113.27433628318585,Non-Fatal,
20031105X01861,0.0,0.0,0.0,76.0,Boeing737,100.0,Non-Fatal,
20060111X00048,0.0,1.0,0.0,216.0,Boeing777,105.06912442396312,Non-Fatal,
20050323X00356,0.0,0.0,0.0,214.0,Boeing777,100.0,Non-Fatal,
20050318X00330,0.0,0.0,8.0,201.0,Boeing777,107.65550239234449,Non-Fatal,
20050502X00534,0.0,0.0,0.0,98.0,Boeing737,100.0,Non-Fatal,
20050523X00653,0.0,0.0,0.0,80.0,Boeing717,100.0,Non-Fatal,
20081003X62950,0.0,0.0,0.0,309.0,Boeing777,100.0,Non-Fatal,
20051028X01749,0.0,1.0,0.0,186.0,Boeing767,105.88235294117648,Non-Fatal,
20050825X01313,0.0,0.0,0.0,205.0,Boeing737,100.0,Non-Fatal,
20050921X01501,0.0,0.0,2.0,338.0,Boeing747,101.17647058823529,Non-Fatal,
20051101X01767,0.0,0.0,0.0,119.0,Boeing737,100.0,Non-Fatal,
20051206X01938,0.0,0.0,0.0,243.0,Boeing777,100.0,Non-Fatal,
20060425X00482,0.0,1.0,4.0,232.0,Boeing777,108.01687763713079,Non-Fatal,
20070426X00458,0.0,0.0,0.0,216.0,Boeing737,100.0,Non-Fatal,
20070111X00042,0.0,0.0,0.0,208.0,Boeing737,100.0,Non-Fatal,
20061227X01849,0.0,0.0,0.0,368.0,Boeing747,100.0,Non-Fatal,
20070111X00042,0.0,0.0,0.0,208.0,Boeing737,100.0,Non-Fatal,
20080513X00660,0.0,0.0,0.0,205.0,Boeing777,100.0,Non-Fatal,
20070520X00598,0.0,1.0,0.0,102.0,Boeing737,110.67961165048543,Non-Fatal,
20070705X00879,0.0,0.0,0.0,501.0,Boeing777,100.0,Non-Fatal,
20070911X01360,0.0,1.0,0.0,250.0,Boeing777,104.38247011952191,Non-Fatal,
20071231X02010,0.0,0.0,0.0,138.0,Boeing737,100.0,Non-Fatal,
20071231X02013,0.0,1.0,0.0,263.0,Boeing777,104.16666666666667,Non-Fatal,
20080111X00039,0.0,0.0,0.0,334.0,Boeing747,100.0,Non-Fatal,
20080117X00065,0.0,2.0,0.0,191.0,Boeing777,111.39896373056995,Non-Fatal,
20080212X00178,0.0,6.0,0.0,140.0,Boeing757,145.2054794520548,Non-Fatal,
20080506X00615,0.0,0.0,0.0,55.0,Boeing737,100.0,Non-Fatal,
20080723X01110,0.0,0.0,1.0,72.0,Boeing737,102.73972602739727,Non-Fatal,
20080413X00464,0.0,0.0,1.0,102.0,Boeing737,101.94174757281553,Non-Fatal,
20080305X00267,0.0,6.0,0.0,136.0,Boeing737,146.47887323943664,Non-Fatal,
20080404X00432,0.0,0.0,0.0,403.0,Boeing777,100.0,Non-Fatal,
20080307X00283,0.0,0.0,0.0,244.0,Boeing737,100.0,Non-Fatal,
20080506X00616,0.0,0.0,0.0,54.0,Boeing737,100.0,Non-Fatal,
20080509X00640,0.0,0.0,0.0,180.0,Boeing757,100.0,Non-Fatal,
20080404X00426,0.0,0.0,0.0,118.0,Boeing737,100.0,Non-Fatal,
20080722X01094,0.0,1.0,1.0,146.0,Boeing737,108.78378378378379,Non-Fatal,
20080709X00995,0.0,0.0,0.0,314.0,Boeing737,100.0,Non-Fatal,
20080709X00994,0.0,0.0,0.0,285.0,Boeing737,100.0,Non-Fatal,
20080813X01238,0.0,1.0,0.0,46.0,Boeing737,123.40425531914893,Non-Fatal,
20080805X01157,0.0,0.0,0.0,365.0,Boeing747,100.0,Non-Fatal,
20081003X16340,0.0,0.0,0.0,170.0,Boeing757,100.0,Non-Fatal,
20080822X01296,0.0,0.0,0.0,311.0,Boeing777,100.0,Non-Fatal,
20080825X01307,154.0,0.0,18.0,0.0,Boeing82,2269.767441860465,Fatal-154,
20081003X16307,65.0,25.0,0.0,0.0,Boeing737,2138.888888888889,Fatal-65,
20080829X01354,0.0,0.0,0.0,159.0,Boeing744,100.0,Non-Fatal,
20080920X01508,88.0,0.0,0.0,0.0,Boeing737,2500.0,Fatal-88,
20081007X03940,0.0,0.0,0.0,192.0,Boeing757,100.0,Non-Fatal,
20081219X65313,0.0,0.0,0.0,133.0,Boeing737,100.0,Non-Fatal,
20081020X72910,0.0,13.0,1.0,151.0,Boeing747,187.87878787878788,Non-Fatal,
20081105X55127,0.0,0.0,0.0,55.0,Boeing737,100.0,Non-Fatal,
20100304X92243,0.0,0.0,0.0,189.0,Boeing737,100.0,Non-Fatal,
20081110X15316,0.0,0.0,0.0,51.0,Boeing737,100.0,Non-Fatal,
20081201X44308,0.0,0.0,0.0,263.0,Boeing777,100.0,Non-Fatal,
20081223X70710,0.0,88.0,0.0,0.0,Boeing737,1200.0,Non-Fatal,
20081221X14648,0.0,41.0,6.0,68.0,Boeing737,502.60869565217394,Non-Fatal,
20081224X25658,0.0,0.0,0.0,141.0,Boeing737,100.0,Non-Fatal,
20081228X25156,0.0,0.0,0.0,352.0,Boeing757,100.0,Non-Fatal,
20090105X01036,0.0,0.0,0.0,257.0,Boeing777,100.0,Non-Fatal,
20090113X70049,0.0,0.0,0.0,332.0,Boeing777,100.0,Non-Fatal,
20090220X30535,0.0,34.0,4.0,384.0,Boeing747,190.521327014218,Non-Fatal,
20090225X82204,9.0,53.0,27.0,45.0,Boeing737,736.5671641791045,Fatal-9,
20090306X84920,0.0,0.0,0.0,131.0,Boeing737,100.0,Non-Fatal,
20090305X25029,0.0,0.0,2.0,275.0,Boeing777,101.44404332129963,Non-Fatal,
20090421X81417,0.0,3.0,1.0,105.0,Boeing737,132.11009174311928,Non-Fatal,
20090424X50554,0.0,0.0,0.0,220.0,Boeing767,100.0,Non-Fatal,
20090507X00926,0.0,11.0,1.0,168.0,Boeing10,168.33333333333334,Non-Fatal,
20090513X31333,0.0,2.0,0.0,51.0,Boeing737,141.50943396226415,Non-Fatal,
20090724X12005,0.0,4.0,1.0,184.0,Boeing757,124.33862433862434,Non-Fatal,
20090527X25328,0.0,4.0,1.0,263.0,Boeing767,117.16417910447761,Non-Fatal,
20090626X74656,0.0,0.0,0.0,210.0,Boeing767,100.0,Non-Fatal,
20090610X65600,0.0,0.0,0.0,192.0,Boeing757,100.0,Non-Fatal,
20090629X84637,0.0,0.0,0.0,216.0,Boeing767,100.0,Non-Fatal,
20090714X83900,0.0,0.0,0.0,131.0,Boeing737,100.0,Non-Fatal,
20090810X21314,0.0,33.0,0.0,146.0,Boeing767,302.7932960893855,Non-Fatal,
20090811X50316,0.0,0.0,0.0,153.0,Boeing737,100.0,Non-Fatal,
20090828X61756,0.0,0.0,1.0,85.0,Boeing717,102.32558139534885,Non-Fatal,
20090909X82446,0.0,0.0,0.0,142.0,Boeing737,100.0,Non-Fatal,
20090921X73211,0.0,0.0,0.0,235.0,Boeing767,100.0,Non-Fatal,
20091028X00540,0.0,0.0,0.0,171.0,Boeing737,100.0,Non-Fatal,
20091020X14635,0.0,0.0,1.0,231.0,Boeing767,100.86206896551724,Non-Fatal,
20091020X05636,0.0,0.0,0.0,194.0,Boeing767,100.0,Non-Fatal,
20091028X64340,0.0,0.0,0.0,102.0,Boeing737,100.0,Non-Fatal,
20091030X64143,0.0,1.0,1.0,120.0,Boeing717,110.65573770491804,Non-Fatal,
20091124X94107,0.0,1.0,1.0,198.0,Boeing777,106.5,Non-Fatal,
20091214X41802,0.0,0.0,0.0,115.0,,100.0,Non-Fatal,
20100107X40353,0.0,5.0,0.0,148.0,Boeing737,135.94771241830065,Non-Fatal,
20100129X00036,0.0,0.0,0.0,209.0,Boeing737,100.0,Non-Fatal,
20100126X35439,90.0,0.0,0.0,0.0,Boeing737,2500.0,Fatal-90,
20100216X20235,0.0,1.0,1.0,83.0,Boeing737,115.29411764705881,Non-Fatal,
20100305X52436,0.0,0.0,0.0,125.0,Boeing737,100.0,Non-Fatal,
20100222X84927,0.0,25.0,1.0,236.0,Boeing747,205.72519083969465,Non-Fatal,
20111122X95137,0.0,0.0,0.0,146.0,Boeing737,100.0,Non-Fatal,
20100330X00627,0.0,0.0,0.0,268.0,Boeing777,100.0,Non-Fatal,
20100412X21857,0.0,0.0,0.0,326.0,Boeing747,100.0,Non-Fatal,
20100410X34740,0.0,0.0,0.0,109.0,Boeing737,100.0,Non-Fatal,
20100414X04022,0.0,5.0,0.0,140.0,Boeing767,137.93103448275863,Non-Fatal,
20100503X92217,0.0,0.0,0.0,140.0,Boeing737,100.0,Non-Fatal,
20100507X94749,0.0,5.0,1.0,172.0,Boeing767,132.02247191011236,Non-Fatal,
20100507X70356,0.0,0.0,0.0,246.0,Boeing747,100.0,Non-Fatal,
20100517X92932,0.0,0.0,0.0,112.0,Boeing757,100.0,Non-Fatal,
20100522X50538,158.0,0.0,7.0,1.0,Boeing737,2392.7710843373493,Fatal-158,
20100525X31845,0.0,0.0,2.0,209.0,Boeing777,101.89573459715639,Non-Fatal,
20100628X25535,0.0,0.0,0.0,162.0,Boeing737,100.0,Non-Fatal,
20100714X03542,0.0,0.0,1.0,167.0,Boeing737,101.19047619047619,Non-Fatal,
20100617X93422,0.0,0.0,0.0,214.0,Boeing777,100.0,Non-Fatal,
20100719X80209,0.0,0.0,1.0,201.0,Boeing767,100.99009900990099,Non-Fatal,
20100824X84240,0.0,0.0,0.0,96.0,Boeing737,100.0,Non-Fatal,
20100806X53016,0.0,6.0,0.0,184.0,Boeing767,134.73684210526315,Non-Fatal,
20100816X82039,1.0,67.0,17.0,42.0,Boeing737,725.9842519685039,Fatal-1,
20100901X01739,0.0,0.0,1.0,193.0,Boeing767,101.03092783505154,Non-Fatal,
20100908X20427,0.0,0.0,0.0,133.0,Boeing737,100.0,Non-Fatal,
20101004X00504,0.0,0.0,0.0,173.0,Boeing737,100.0,Non-Fatal,
20101027X04916,0.0,0.0,0.0,160.0,Boeing757,100.0,Non-Fatal,
20101031X30917,0.0,0.0,0.0,142.0,Boeing737,100.0,Non-Fatal,
20101206X61618,0.0,0.0,0.0,111.0,Boeing737,100.0,Non-Fatal,
20101203X90900,0.0,2.0,1.0,181.0,Boeing767,113.04347826086956,Non-Fatal,
20101208X01208,0.0,0.0,0.0,137.0,Boeing777,100.0,Non-Fatal,
20110113X40141,0.0,0.0,0.0,125.0,Boeing737,100.0,Non-Fatal,
20101210X92343,0.0,0.0,0.0,92.0,Boeing737,100.0,Non-Fatal,
20110113X40638,0.0,0.0,0.0,132.0,Boeing737,100.0,Non-Fatal,
20101220X14621,0.0,0.0,0.0,222.0,Boeing737,100.0,Non-Fatal,
20110105X33913,0.0,0.0,0.0,122.0,Boeing737,100.0,Non-Fatal,
20101229X22154,0.0,0.0,0.0,185.0,Boeing757,100.0,Non-Fatal,
20110502X93814,0.0,0.0,0.0,165.0,Boeing737,100.0,Non-Fatal,
20110214X93523,0.0,8.0,7.0,88.0,Boeing767,199.02912621359224,Non-Fatal,
20110218X13630,0.0,6.0,1.0,243.0,Boeing767,127.2,Non-Fatal,
20110222X14949,0.0,0.0,0.0,216.0,Boeing737,100.0,Non-Fatal,
20110222X15822,0.0,0.0,0.0,226.0,Boeing737,100.0,Non-Fatal,
20110317X95254,0.0,0.0,0.0,278.0,Boeing747,100.0,Non-Fatal,
20110222X20316,0.0,0.0,0.0,145.0,Boeing737,100.0,Non-Fatal,
20110919X53553,0.0,0.0,0.0,110.0,Boeing737,100.0,Non-Fatal,
20110228X54428,0.0,1.0,1.0,188.0,Boeing757,106.84210526315789,Non-Fatal,
20110324X53002,0.0,0.0,0.0,130.0,Boeing757,100.0,Non-Fatal,
20110330X05145,0.0,0.0,0.0,145.0,Boeing737,100.0,Non-Fatal,
20110401X24330,0.0,2.0,0.0,120.0,Boeing737,118.0327868852459,Non-Fatal,
20110407X41107,0.0,0.0,0.0,83.0,Boeing737,100.0,Non-Fatal,
20110408X50236,0.0,0.0,0.0,86.0,Boeing737,100.0,Non-Fatal,
20110411X70103,0.0,0.0,0.0,361.0,Boeing777,100.0,Non-Fatal,
20110418X12310,0.0,2.0,2.0,227.0,Boeing777,111.25541125541125,Non-Fatal,
20110417X11718,0.0,0.0,1.0,185.0,Boeing757,101.0752688172043,Non-Fatal,
20110426X53639,0.0,0.0,0.0,139.0,Boeing737,100.0,Non-Fatal,
20110513X41407,0.0,0.0,0.0,298.0,Boeing737,100.0,Non-Fatal,
20110525X44500,0.0,0.0,0.0,101.0,Boeing90,100.0,Non-Fatal,
20110525X45514,0.0,0.0,0.0,66.0,Boeing737,100.0,Non-Fatal,
20110525X42547,0.0,1.0,1.0,185.0,Boeing757,106.95187165775401,Non-Fatal,
20110701X11957,0.0,0.0,0.0,190.0,Boeing757,100.0,Non-Fatal,
20110621X32040,0.0,0.0,0.0,190.0,Boeing757,100.0,Non-Fatal,
20110621X20741,0.0,3.0,0.0,175.0,Boeing757,118.53932584269661,Non-Fatal,
20110711X20245,77.0,0.0,0.0,35.0,Boeing727,1750.0,Fatal-77,
20110719X64022,0.0,0.0,0.0,144.0,Boeing737,100.0,Non-Fatal,
20110729X51123,0.0,0.0,0.0,319.0,Boeing777,100.0,Non-Fatal,
20110730X60307,0.0,4.0,1.0,380.0,Boeing747,111.94805194805195,Non-Fatal,
20110730X61108,0.0,0.0,1.0,161.0,Boeing737,101.23456790123457,Non-Fatal,
20120224X42146,0.0,0.0,1.0,141.0,Boeing737,101.40845070422534,Non-Fatal,
20111013X11758,0.0,0.0,2.0,272.0,Boeing777,101.45985401459853,Non-Fatal,
20110927X91721,0.0,0.0,0.0,185.0,Boeing757,100.0,Non-Fatal,
20111001X72953,0.0,0.0,0.0,130.0,Boeing9,100.0,Non-Fatal,
20110930X20857,0.0,0.0,1.0,165.0,Boeing737,101.20481927710843,Non-Fatal,
20111011X01145,0.0,0.0,0.0,182.0,Boeing757,100.0,Non-Fatal,
20111020X14740,0.0,0.0,1.0,215.0,Boeing767,100.92592592592592,Non-Fatal,
20111024X74546,0.0,0.0,0.0,394.0,Boeing747,100.0,Non-Fatal,
20111103X41530,0.0,0.0,0.0,231.0,Boeing767,100.0,Non-Fatal,
20111108X75705,0.0,0.0,0.0,129.0,Boeing777,100.0,Non-Fatal,
20111208X41332,0.0,0.0,1.0,151.0,Boeing757,101.3157894736842,Non-Fatal,
20111209X35527,0.0,0.0,0.0,85.0,Boeing737,100.0,Non-Fatal,
20111206X05636,0.0,2.0,1.0,97.0,Boeing737,124.0,Non-Fatal,
20111214X53854,0.0,0.0,0.0,279.0,Boeing737,100.0,Non-Fatal,
20111222X45448,0.0,0.0,0.0,133.0,Boeing737,100.0,Non-Fatal,
20120105X34138,0.0,0.0,0.0,133.0,Boeing737,100.0,Non-Fatal,
20120123X64443,0.0,0.0,0.0,191.0,Boeing777,100.0,Non-Fatal,
20120208X70842,0.0,0.0,0.0,210.0,Boeing767,100.0,Non-Fatal,
20120221X32033,0.0,3.0,1.0,132.0,Boeing737,125.73529411764706,Non-Fatal,
20120229X70237,0.0,1.0,1.0,138.0,Boeing737,109.28571428571428,Non-Fatal,
20120302X00956,0.0,0.0,1.0,146.0,Boeing767,101.36054421768708,Non-Fatal,
20120322X25316,0.0,0.0,1.0,141.0,Boeing737,101.40845070422534,Non-Fatal,
20120427X01955,127.0,0.0,0.0,0.0,Boeing737,2500.0,Fatal-127,
20130110X10345,0.0,0.0,0.0,171.0,Boeing737,100.0,Non-Fatal,
20120615X74656,0.0,0.0,0.0,173.0,Boeing737,100.0,Non-Fatal,
20120608X43116,0.0,1.0,1.0,184.0,Boeing757,106.98924731182795,Non-Fatal,
20120613X32202,0.0,0.0,2.0,79.0,Boeing737,104.93827160493827,Non-Fatal,
20120706X92817,0.0,0.0,1.0,85.0,Boeing737,102.32558139534885,Non-Fatal,
20120713X01334,0.0,3.0,1.0,252.0,Boeing777,113.671875,Non-Fatal,
20120808X23954,0.0,0.0,0.0,120.0,Boeing737,100.0,Non-Fatal,
20120727X13551,0.0,0.0,0.0,76.0,Boeing737,100.0,Non-Fatal,
20120730X60929,0.0,0.0,0.0,273.0,Boeing757,100.0,Non-Fatal,
20120802X03552,0.0,0.0,0.0,157.0,Boeing737,100.0,Non-Fatal,
20120830X44613,0.0,0.0,0.0,151.0,Boeing767,100.0,Non-Fatal,
20120915X93442,0.0,0.0,0.0,220.0,Boeing767,100.0,Non-Fatal,
20121005X05550,0.0,0.0,0.0,108.0,Boeing717,100.0,Non-Fatal,
20121014X02447,0.0,1.0,2.0,195.0,Boeing737,107.57575757575756,Non-Fatal,
20121018X62210,0.0,0.0,1.0,85.0,Boeing737,102.32558139534885,Non-Fatal,
20121023X21517,0.0,0.0,0.0,160.0,Boeing737,100.0,Non-Fatal,
20121107X21801,0.0,0.0,0.0,147.0,Boeing88,100.0,Non-Fatal,
20121114X82049,0.0,0.0,0.0,137.0,Boeing82,100.0,Non-Fatal,
20130116X93016,0.0,4.0,0.0,133.0,Boeing787,132.1167883211679,Non-Fatal,
20130213X92000,0.0,0.0,0.0,193.0,Boeing737,100.0,Non-Fatal,
20130220X51849,0.0,0.0,1.0,220.0,Boeing747,100.90497737556561,Non-Fatal,
20130228X52911,0.0,0.0,0.0,171.0,Boeing757,100.0,Non-Fatal,
20130314X14422,0.0,0.0,0.0,148.0,Boeing757,100.0,Non-Fatal,
20130511X04905,0.0,0.0,0.0,59.0,Boeing737,100.0,Non-Fatal,
20130528X00922,0.0,0.0,0.0,235.0,Boeing777,100.0,Non-Fatal,
20130707X83745,3.0,137.0,50.0,117.0,Boeing777,646.9055374592834,Fatal-3,
20130712X61436,0.0,0.0,1.0,278.0,Boeing777,100.71684587813621,Non-Fatal,
20130723X13256,0.0,8.0,0.0,141.0,Boeing737,159.06040268456377,Non-Fatal,
20130814X24242,0.0,14.0,1.0,130.0,Boeing737,207.58620689655172,Non-Fatal,
20131121X13345,0.0,0.0,1.0,227.0,Boeing767,100.87719298245614,Non-Fatal,
20131028X02723,0.0,0.0,0.0,176.0,Boeing757,100.0,Non-Fatal,
20131205X11728,0.0,0.0,0.0,203.0,Boeing767,100.0,Non-Fatal,
20131224X22946,0.0,0.0,0.0,107.0,Boeing737,100.0,Non-Fatal,
20140109X32656,0.0,0.0,0.0,180.0,Boeing737,100.0,Non-Fatal,
20140110X14059,0.0,0.0,1.0,144.0,Boeing737,101.37931034482759,Non-Fatal,
20140110X15754,0.0,0.0,1.0,140.0,Boeing757,101.41843971631207,Non-Fatal,
20140112X11328,0.0,0.0,0.0,131.0,Boeing737,100.0,Non-Fatal,
20140212X03156,0.0,10.0,2.0,107.0,Boeing737,195.7983193277311,Non-Fatal,
20140507X51410,0.0,0.0,1.0,186.0,Boeing737,101.06951871657755,Non-Fatal,
20140308X91420,239.0,0.0,0.0,0.0,Boeing777,2500.0,Fatal-239,
20140619X52159,0.0,0.0,1.0,143.0,Boeing737,101.38888888888889,Non-Fatal,
20140620X45424,0.0,4.0,0.0,77.0,Boeing767,154.320987654321,Non-Fatal,
20140714X45633,0.0,0.0,0.0,208.0,Boeing767,100.0,Non-Fatal,
20140718X92314,295.0,0.0,0.0,0.0,Boeing777,2500.0,Fatal-295,
20140806X21104,0.0,0.0,0.0,174.0,Boeing757,100.0,Non-Fatal,
20140829X32709,0.0,0.0,1.0,220.0,Boeing767,100.90497737556561,Non-Fatal,
20140918X21722,0.0,0.0,0.0,172.0,Boeing757,100.0,Non-Fatal,
20140922X14716,0.0,0.0,0.0,333.0,Boeing747,100.0,Non-Fatal,
20141003X84008,0.0,1.0,1.0,248.0,Boeing777,105.2,Non-Fatal,
20141211X62917,0.0,12.0,1.0,146.0,Boeing737,184.27672955974842,Non-Fatal,
20150116X52840,0.0,0.0,1.0,80.0,Boeing737,102.46913580246914,Non-Fatal,
20141217X43728,0.0,0.0,0.0,145.0,Boeing737,100.0,Non-Fatal,
20141223X05119,0.0,10.0,2.0,243.0,Boeing777,144.70588235294116,Non-Fatal,
20150219X14806,0.0,4.0,1.0,245.0,Boeing767,118.39999999999999,Non-Fatal,
20150618X30530,0.0,1.0,1.0,197.0,Boeing777,106.53266331658291,Non-Fatal,
20150805X75232,0.0,0.0,0.0,148.0,Boeing737,100.0,Non-Fatal,
20150824X02325,0.0,0.0,0.0,147.0,Boeing737,100.0,Non-Fatal,
20150921X31350,7.0,0.0,0.0,112.0,Boeing737,241.17647058823528,Fatal-7,
20150908X35241,0.0,19.0,1.0,150.0,Boeing777,224.11764705882354,Non-Fatal,
20150923X00156,0.0,0.0,0.0,279.0,Boeing777,100.0,Non-Fatal,
20151005X35533,0.0,0.0,0.0,367.0,Boeing747,100.0,Non-Fatal,
20151022X65901,0.0,0.0,1.0,147.0,Boeing737,101.35135135135135,Non-Fatal,
20151023X50751,0.0,0.0,1.0,166.0,Boeing757,101.19760479041918,Non-Fatal,
20151026X81321,0.0,1.0,1.0,183.0,Boeing737,107.02702702702702,Non-Fatal,
20151027X61915,0.0,0.0,0.0,102.0,Boeing737,100.0,Non-Fatal,
20151029X44249,0.0,21.0,1.0,79.0,Boeing767,330.6930693069307,Non-Fatal,
20151107X52955,0.0,0.0,1.0,220.0,Boeing787,100.90497737556561,Non-Fatal,
20151130X61148,0.0,0.0,1.0,147.0,Boeing737,101.35135135135135,Non-Fatal,
20151216X41606,0.0,0.0,0.0,138.0,Boeing737,100.0,Non-Fatal,
20151223X30310,0.0,0.0,0.0,153.0,Boeing737,100.0,Non-Fatal,
20160119X20258,0.0,0.0,1.0,141.0,Boeing737,101.40845070422534,Non-Fatal,
20160119X15230,0.0,0.0,1.0,147.0,Boeing737,101.35135135135135,Non-Fatal,
20160129X24835,0.0,0.0,1.0,143.0,Boeing737,101.38888888888889,Non-Fatal,
