Make:Model,Adjusted Severity_Score,Total Deliveries,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Number of Events
Airbus320,3.670950298270903,11134.0,100,53,21,7112,45
Boeing737,4.907781613549178,11550.0,1314,683,189,30499,236
McdonnellDouglas:DC-9,11.84346745190093,2441.0,3,4,55,1277,15
Atr: ATR72,13.888888888888888,1800.0,0,0,0,142,3
Boeing744,15.88310038119441,1574.0,0,0,0,159,1
Dehavilland-DHC8,20.29220779220779,1232.0,0,0,0,104,2
Embraer-EMB145,21.029686881338268,1231.0,0,3,8,2119,30
Airbus319,21.13105253786021,1500.0,0,68,27,3359,27
Airbus321,21.167246784005073,2965.0,157,1,4,2575,16
McdonnellDouglas:MD-80,21.838935702635883,1191.0,2,13,10,5748,38
Bombardier-CL600,24.947122178341736,1157.0,0,37,7,2796,37
Boeing787,25.238246111731392,1040.0,0,6,5,2015,9
Boeing707,27.475546763380596,1011.0,1,0,3,247,2
Embraer-EMB135KL,28.026905829596412,892.0,0,0,0,223,4
Boeing777,29.30326931171812,1718.0,537,193,93,14746,56
Boeing727,32.54141634807937,1831.0,77,1,1,1179,12
Airbus300,33.201606633842964,816.0,0,1,4,222,1
Boeing747,33.487546349165676,1574.0,228,103,391,7962,25
Boeing757,36.61697024284067,1049.0,161,22,13,7979,47
Boeing767,38.82934596803506,1288.0,190,172,29,9248,54
Embraer-ERJ175,42.808219178082204,600.0,0,0,1,72,1
Airbus330,49.43809037297497,1579.0,331,13,30,5298,23
Boeing9,50.0,500.0,0,0,0,130,1
Bombardier-DHC8-202,50.0,500.0,0,0,0,66,1
McdonnellDouglas:DC-8,52.83259508646323,556.0,0,1,18,238,2
Boeing90,55.55555555555555,450.0,0,0,0,101,1
Boeing88,62.5,400.0,0,0,0,147,1
Airbus340,66.3129973474801,377.0,0,0,0,397,1
Airbus220,84.45945945945945,296.0,0,0,0,352,3
McdonnellDouglas:DC-10,85.89522974209454,386.0,20,28,135,2786,13
Airbus380,99.601593625498,251.0,0,0,0,1097,2
Lockheed-L-1011,101.24143835616438,250.0,0,1,9,2594,8
Bombardier-DHC8-402,101.39258948142121,1249.0,49,2,1,272,6
Boeing10,105.20833333333333,400.0,0,11,1,168,1
Embraer-ERJ170,148.1775069793654,191.0,0,9,11,1287,16
Short Brothers: SD3-60,151.51515151515153,165.0,0,0,0,678,2
Embraer-EMB170,164.03256704980842,160.0,0,1,1,443,3
McdonnellDouglas:MD-11,164.4321766561514,200.0,0,0,200,843,4
Boeing717,164.99984003796433,156.0,0,1,3,502,5
Embraer-ERJ190,171.02553929055154,463.0,42,74,30,619,9
McdonnellDouglas:MD-90,216.27079816734988,116.0,0,0,1,540,4
Boeing82,248.92515145593123,1190.0,154,0,18,137,2
Saab: 2000,954.2705971277398,63.0,1,3,1,37,1
Fokker-F-100,1127.1565272054204,278.0,97,4,2,51,2
Fokker-F28-4000,1437.1657754010696,241.0,27,72,15,3,2
Airbus310,1731.753099748549,255.0,351,0,11,184,3
Bombardier-DHC8-311,,,0,0,1,52,1
Embraer-E175,,,0,0,1,65,1
