Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,Severity_Score,Fatality,extracted_value
0.0,0.0,0.0,119.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,83.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,0.0,108.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,0.0,68.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,0.0,74.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,0.0,129.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,0.0,102.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,1.0,128.0,Boeing727,110.00000000000001,Non-Fatal,
0.0,1.0,0.0,67.0,Boeing737,116.1764705882353,Non-Fatal,
0.0,0.0,0.0,116.0,Boeing707,100.0,Non-Fatal,
0.0,0.0,0.0,57.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,58.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,0.0,73.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,588.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,100.0,Boeing727,100.0,Non-Fatal,
1.0,0.0,3.0,131.0,Boeing707,122.22222222222223,Fatal-1,
0.0,1.0,0.0,192.0,Boeing757,105.69948186528497,Non-Fatal,
0.0,0.0,0.0,258.0,Boeing747,100.0,Non-Fatal,
0.0,1.0,1.0,220.0,Boeing747,105.85585585585586,Non-Fatal,
0.0,0.0,0.0,156.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,0.0,288.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,288.0,Boeing767,100.0,Non-Fatal,
160.0,4.0,0.0,0.0,Boeing757,2468.2926829268295,Fatal-160,
125.0,44.0,2.0,4.0,Boeing767,2093.1428571428573,Fatal-125,
0.0,0.0,0.0,63.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,0.0,96.0,Boeing737,111.34020618556701,Non-Fatal,
0.0,0.0,0.0,573.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,573.0,Boeing777,100.0,Non-Fatal,
0.0,1.0,0.0,122.0,Boeing767,108.9430894308943,Non-Fatal,
1.0,0.0,0.0,149.0,Boeing757,115.99999999999999,Fatal-1,
228.0,26.0,0.0,0.0,Boeing747,2366.929133858268,Fatal-228,
0.0,1.0,4.0,87.0,Boeing767,120.65217391304348,Non-Fatal,
0.0,0.0,0.0,200.0,Boeing767,100.0,Non-Fatal,
0.0,1.0,0.0,227.0,Boeing777,104.82456140350878,Non-Fatal,
0.0,0.0,0.0,91.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,96.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,4.0,71.0,Boeing737,110.66666666666667,Non-Fatal,
0.0,0.0,0.0,94.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,191.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,274.0,Boeing777,100.0,Non-Fatal,
0.0,1.0,5.0,185.0,Boeing777,110.99476439790577,Non-Fatal,
0.0,0.0,0.0,143.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,123.0,Boeing737,100.0,Non-Fatal,
0.0,2.0,42.0,98.0,Boeing737,174.64788732394365,Non-Fatal,
131.0,0.0,0.0,0.0,Boeing737,2500.0,Fatal-131,
0.0,1.0,0.0,123.0,Boeing737,108.87096774193547,Non-Fatal,
0.0,0.0,380.0,0.0,Boeing747,300.0,Non-Fatal,
0.0,0.0,0.0,97.0,Boeing757,100.0,Non-Fatal,
0.0,1.0,0.0,79.0,Boeing767,113.75,Non-Fatal,
0.0,0.0,0.0,144.0,Boeing727,100.0,Non-Fatal,
0.0,0.0,0.0,135.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,0.0,89.0,Boeing767,112.22222222222223,Non-Fatal,
65.0,0.0,0.0,0.0,Boeing767,2500.0,Fatal-65,
0.0,0.0,0.0,101.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,2.0,110.0,Boeing757,113.27433628318585,Non-Fatal,
0.0,0.0,0.0,76.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,0.0,216.0,Boeing777,105.06912442396312,Non-Fatal,
0.0,0.0,0.0,214.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,8.0,201.0,Boeing777,107.65550239234449,Non-Fatal,
0.0,0.0,0.0,98.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,80.0,Boeing717,100.0,Non-Fatal,
0.0,0.0,0.0,309.0,Boeing777,100.0,Non-Fatal,
0.0,1.0,0.0,186.0,Boeing767,105.88235294117648,Non-Fatal,
0.0,0.0,0.0,205.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,2.0,338.0,Boeing747,101.17647058823529,Non-Fatal,
0.0,0.0,0.0,119.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,243.0,Boeing777,100.0,Non-Fatal,
0.0,1.0,4.0,232.0,Boeing777,108.01687763713079,Non-Fatal,
0.0,0.0,0.0,216.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,208.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,368.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,208.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,205.0,Boeing777,100.0,Non-Fatal,
0.0,1.0,0.0,102.0,Boeing737,110.67961165048543,Non-Fatal,
0.0,0.0,0.0,501.0,Boeing777,100.0,Non-Fatal,
0.0,1.0,0.0,250.0,Boeing777,104.38247011952191,Non-Fatal,
0.0,0.0,0.0,138.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,0.0,263.0,Boeing777,104.16666666666667,Non-Fatal,
0.0,0.0,0.0,334.0,Boeing747,100.0,Non-Fatal,
0.0,2.0,0.0,191.0,Boeing777,111.39896373056995,Non-Fatal,
0.0,6.0,0.0,140.0,Boeing757,145.2054794520548,Non-Fatal,
0.0,0.0,0.0,55.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,72.0,Boeing737,102.73972602739727,Non-Fatal,
0.0,0.0,1.0,102.0,Boeing737,101.94174757281553,Non-Fatal,
0.0,6.0,0.0,136.0,Boeing737,146.47887323943664,Non-Fatal,
0.0,0.0,0.0,403.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,244.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,54.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,180.0,Boeing757,100.0,Non-Fatal,
